#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Bacillus velezensis","Bacteria;Terrabacteria group;Bacillota","SRCM103691","SAMN10790859","PRJNA516533","GCA_004119575.1","Complete",4.13953,46.2,"chromosome:NZ_CP035393.1/CP035393.1",,1,3841,"2019-01-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/119/575/GCF_004119575.1_ASM411957v1"
"Amniculibacterium sp. G2-70","Bacteria;Other;Other","G2-70","SAMN15897671","PRJNA659153","GCA_014353055.1","Complete",2.83925,36.6665,"chromosome:NZ_CP060698.1/CP060698.1; plasmid unnamed:NZ_CP060699.1/CP060699.1",,2,2542,"2020-09-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/353/055/GCA_014353055.1_ASM1435305v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/353/055/GCF_014353055.1_ASM1435305v1"
"Rhizobium sp. S41","Bacteria;Pseudomonadota;Alphaproteobacteria","S41","SAMN05323143","PRJNA327265","GCA_001691455.1","Complete",5.52437,59.3,"chromosome 1:NZ_CP016320.1/CP016320.1; chromosome 2:NZ_CP016433.1/CP016433.1",,2,5173,"2016-07-21T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/691/455/GCF_001691455.1_ASM169145v1"
"Bradyrhizobium sp. ISRA437","Bacteria;Pseudomonadota;Alphaproteobacteria","ISRA437","SAMN20568706","PRJNA742876","GCA_029910035.1","Complete",7.82683,63.3665,"chromosome:CP094521.1; plasmid unnamed:CP094522.1",,2,6884,"2023-05-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/910/035/GCF_029910035.1_ASM2991003v1"
"Synechococcus sp. TAK9802","Bacteria;Terrabacteria group;Cyanobacteriota/Melainabacteria group","TAK9802","SAMN13641351","PRJNA596899","GCA_014279535.1","Complete",2.19039,60.8,"chromosome:NZ_CP047937.1/CP047937.1",,1,2417,"2020-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/279/535/GCA_014279535.1_ASM1427953v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/535/GCF_014279535.1_ASM1427953v1"
"Bacillus sp. FJAT-14266","Bacteria;Terrabacteria group;Bacillota","FJAT-14266","SAMN04631804","PRJNA340208","GCA_001719225.1","Complete",4.10936,43.9,"chromosome:NZ_CP017072.1/CP017072.1",,1,3985,"2016-09-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/719/225/GCF_001719225.1_ASM171922v1"
"Pseudomonas sp. B21-040","Bacteria;Pseudomonadota;Gammaproteobacteria","B21-040","SAMN23038794","PRJNA779451","GCA_024748695.1","Complete",6.7533,58.8,"chromosome:NZ_CP087176.1/CP087176.1",,1,5984,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/748/695/GCF_024748695.1_ASM2474869v1"
"Streptomyces sp. HUAS 15-9","Bacteria;Terrabacteria group;Actinomycetota","HUAS 15-9","SAMN30971617","PRJNA883558","GCA_025642155.1","Complete",9.60437,70.5722,"chromosome:NZ_CP106798.1/CP106798.1; plasmid punmamed2:NZ_CP106799.1/CP106799.1; plasmid punmamed3:NZ_CP106800.1/CP106800.1",,3,8145,"2022-10-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/642/155/GCF_025642155.1_ASM2564215v1"
"Bordetella holmesii","Bacteria;Pseudomonadota;Betaproteobacteria","H807","SAMN12525368","PRJNA287884","GCA_009627015.1","Complete",3.69534,62.7,"chromosome:NZ_CP043128.1/CP043128.1",,1,3205,"2019-11-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/627/015/GCF_009627015.1_ASM962701v1"
"Pseudomonas chlororaphis subsp. aurantiaca","Bacteria;Pseudomonadota;Gammaproteobacteria","zm-1","SAMN13698210","PRJNA598082","GCA_010092525.1","Complete",6.86133,63,"chromosome:NZ_CP048051.1/CP048051.1",,1,6090,"2020-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/092/525/GCA_010092525.1_ASM1009252v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/092/525/GCF_010092525.1_ASM1009252v1"
"Elizabethkingia anophelis","Bacteria;FCB group;Bacteroidota/Chlorobiota group","2002N07-090","SAMN19866463","PRJNA741344","GCA_022221485.1","Complete",3.90917,35.7,"chromosome:NZ_CP077753.1/CP077753.1",,1,3482,"2022-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/485/GCA_022221485.1_ASM2222148v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/485/GCF_022221485.1_ASM2222148v1"
"Piscirickettsia salmonis","Bacteria;Pseudomonadota;Gammaproteobacteria","Psal-071","SAMN11338344","PRJNA530871","GCA_009708975.1","Complete",3.45261,39.6469,"chromosome:NZ_CP039035.1/CP039035.1; plasmid unnamed1:NZ_CP039036.1/CP039036.1; plasmid unnamed2:NZ_CP039037.1/CP039037.1; plasmid unnamed3:NZ_CP039038.1/CP039038.1; plasmid unnamed4:NZ_CP039039.1/CP039039.1",,5,3415,"2019-11-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/708/975/GCF_009708975.1_ASM970897v1"
"Morganella morganii subsp. morganii KT","Bacteria;Pseudomonadota;Gammaproteobacteria","KT","SAMN02603113","PRJNA78681","GCA_000286435.2","Complete",3.79954,51.1,"chromosome:NC_020418.1/CP004345.1",,1,3464,"2013-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/435/GCA_000286435.2_ASM28643v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/435/GCF_000286435.2_ASM28643v2"
"Enterobacter hormaechei","Bacteria;Pseudomonadota;Gammaproteobacteria","cre64","SAMN10995734","PRJNA524070","GCA_023612875.1","Complete",5.53726,54.3745,"chromosome:NZ_CP039388.1/CP039388.1; plasmid unnamed1:NZ_CP039389.1/CP039389.1; plasmid unnamed2:NZ_CP039390.1/CP039390.1; plasmid unnamed3:NZ_CP039391.1/CP039391.1; plasmid unnamed4:NZ_CP039392.1/CP039392.1",,5,5002,"2022-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/612/875/GCA_023612875.1_ASM2361287v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/612/875/GCF_023612875.1_ASM2361287v1"
"Citrobacter freundii","Bacteria;Pseudomonadota;Gammaproteobacteria","NY2385","SAMN28016853","PRJNA833768","GCA_027595105.2","Complete",5.22386,51.7589,"chromosome:NZ_CP096921.1/CP096921.1; plasmid pNY2385-2:NZ_CP126882.1/CP126882.1; plasmid pNY2385-IMP:NZ_CP096922.1/CP096922.1; plasmid pNY2385-KPC:NZ_CP126883.1/CP126883.1",,4,4804,"2023-01-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/105/GCF_027595105.2_ASM2759510v2"
"Candidatus Karelsulcia muelleri","Bacteria;FCB group;Bacteroidota/Chlorobiota group","RANSCY","SAMN17767151","PRJNA685971","GCA_016888785.1","Complete",0.148347,25.2,"chromosome:NZ_CP069424.1/CP069424.1",,1,139,"2021-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/785/GCA_016888785.1_ASM1688878v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/888/785/GCF_016888785.1_ASM1688878v1"
"Lactobacillus amylovorus","Bacteria;Terrabacteria group;Bacillota","1394N20","SAMN18972587","PRJNA726865","GCA_021398395.1","Complete",2.17633,37.8,"chromosome:NZ_CP074196.1/CP074196.1",,1,1951,"2022-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/395/GCA_021398395.1_ASM2139839v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/395/GCF_021398395.1_ASM2139839v1"
"Klebsiella variicola","Bacteria;Pseudomonadota;Gammaproteobacteria","DX120E","SAMN03018135","PRJNA259590","GCA_000812205.2","Complete",5.71843,57.072,"chromosome:NZ_CP009274.2/CP009274.2; plasmid pKV1:NZ_CP009275.1/CP009275.1; plasmid pKV2:NZ_CP009276.1/CP009276.1",,3,5330,"2014-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/205/GCA_000812205.2_ASM81220v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/205/GCF_000812205.2_ASM81220v2"
"Lacticaseibacillus paracasei subsp. paracasei","Bacteria;Terrabacteria group;Bacillota","01","SAMN29862210","PRJNA860779","GCA_024665815.1","Complete",3.14354,46.2469,"chromosome:NZ_CP102530.1/CP102530.1; plasmid p1:NZ_CP102531.1/CP102531.1",,2,2938,"2022-08-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/665/815/GCF_024665815.1_ASM2466581v1"
"Escherichia fergusonii","Bacteria;Pseudomonadota;Gammaproteobacteria","RHB31-C17","SAMN15148308","PRJNA605147","GCA_013821535.1","Complete",4.57319,49.9516,"chromosome:NZ_CP057256.1/CP057256.1; plasmid pRHB31-C17_2:NZ_CP057257.1/CP057257.1",,2,4207,"2020-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/821/535/GCA_013821535.1_ASM1382153v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/821/535/GCF_013821535.1_ASM1382153v1"
"Escherichia albertii","Bacteria;Pseudomonadota;Gammaproteobacteria","KBSW16i","SAMN30823218","PRJNA879956","GCA_025600175.2","Complete",4.94344,49.8505,"chromosome:NZ_CP110260.1/CP110260.1; plasmid pKBSW16i-A:NZ_CP110261.1/CP110261.1; plasmid pKBSW16i-B:NZ_CP110262.1/CP110262.1",,3,4475,"2022-10-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/600/175/GCF_025600175.2_ASM2560017v2"
"Akkermansia muciniphila","Bacteria;PVC group;Verrucomicrobiota","Akk13715","SAMN18350243","PRJNA715455","GCA_018847515.1","Complete",2.80366,55.3,"chromosome:NZ_CP072041.1/CP072041.1",,1,2270,"2021-06-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/847/515/GCA_018847515.1_ASM1884751v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/847/515/GCF_018847515.1_ASM1884751v1"
"Aeromonas hydrophila subsp. hydrophila AL09-71","Bacteria;Pseudomonadota;Gammaproteobacteria","AL09-71","SAMN02726090","PRJNA227037","GCA_000633175.1","Complete",5.02386,60.8,"chromosome:NZ_CP007566.1/CP007566.1",,1,4429,"2014-04-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/175/GCA_000633175.1_ASM63317v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/175/GCF_000633175.1_ASM63317v1"
"Mycobacteroides abscessus subsp. abscessus","Bacteria;Terrabacteria group;Actinomycetota","GD59","SAMN16828764","PRJNA669041","GCA_017189355.1","Complete",5.07362,64.1,"chromosome:NZ_CP065274.1/CP065274.1",,1,4908,"2021-03-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/189/355/GCA_017189355.1_ASM1718935v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/189/355/GCF_017189355.1_ASM1718935v1"
"Proteus mirabilis","Bacteria;Pseudomonadota;Gammaproteobacteria","CZP26","SAMN31527216","PRJNA895692","GCA_026016085.1","Complete",4.05569,39.0019,"chromosome:CP110373.1; plasmid pCZP26-1:CP110374.1",,2,3605,"2022-11-07T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/085/GCF_026016085.1_ASM2601608v1"
"Mycoplasmopsis bovis","Bacteria;Terrabacteria group;Mycoplasmatota","HB0801-P115","SAMN02639473","PRJNA237726","GCA_001611865.1","Complete",0.977322,29.3,"chromosome:NZ_CP007589.1/CP007589.1",,1,788,"2016-04-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/865/GCF_001611865.1_ASM161186v1"
"Campylobacter coli","Bacteria;Campylobacterota;Epsilonproteobacteria","PSU-32","SAMN16083725","PRJNA662386","GCA_014705905.1","Complete",1.67316,31.4,"chromosome:NZ_CP061537.1/CP061537.1",,1,1635,"2020-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/705/905/GCA_014705905.1_ASM1470590v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/705/905/GCF_014705905.1_ASM1470590v1"
"Serratia marcescens","Bacteria;Pseudomonadota;Gammaproteobacteria","WVU-010","SAMN11894228","PRJNA545513","GCA_006716825.1","Complete",5.325,59.6,"chromosome:NZ_CP041134.1/CP041134.1",,1,4952,"2019-07-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/825/GCF_006716825.1_ASM671682v1"
"Lactiplantibacillus plantarum","Bacteria;Terrabacteria group;Bacillota","MA2","SAMN34153834","PRJNA954711","GCA_029854235.1","Complete",3.30045,44.5648,"chromosome:NZ_CP122964.1/CP122964.1; plasmid unnamed1:NZ_CP122965.1/CP122965.1",,2,3006,"2023-04-23T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/854/235/GCF_029854235.1_ASM2985423v1"
"Mannheimia haemolytica","Bacteria;Pseudomonadota;Gammaproteobacteria","171096","SAMN35798084","PRJNA960937","GCA_030370295.1","Complete",2.649,41,"chromosome:CP128527.1",,1,0,"2023-06-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/370/295/GCF_030370295.1_ASM3037029v1"
"Corynebacterium diphtheriae bv. mitis","Bacteria;Terrabacteria group;Actinomycetota","PC0646","SAMN11811052","PRJNA541849","GCA_014826095.1","Complete",2.38626,53.5,"chromosome:NZ_CP040557.1/CP040557.1",,1,2135,"2020-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/826/095/GCA_014826095.1_ASM1482609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/826/095/GCF_014826095.1_ASM1482609v1"
"Mycoplasmoides pneumoniae","Bacteria;Terrabacteria group;Mycoplasmatota","15-885","SAMN11472215","PRJNA533936","GCA_009941325.1","Complete",0.81642,40,"chromosome:NZ_CP039770.1/CP039770.1",,1,678,"2020-01-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/941/325/GCF_009941325.1_ASM994132v1"
"Bordetella parapertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J221","SAMN12525406","PRJNA287884","GCA_009626395.1","Complete",4.7739,68.1,"chromosome:NZ_CP043095.1/CP043095.1",,1,4245,"2019-11-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/626/395/GCF_009626395.1_ASM962639v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J072","SAMN03702682","PRJNA279196","GCA_001987855.1","Complete",4.11375,67.7,"chromosome:NZ_CP011760.1/CP011760.1",,1,3666,"2017-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/855/GCF_001987855.1_ASM198785v1"
"[Clostridium] symbiosum","Bacteria;Terrabacteria group;Bacillota","CE91-St65","SAMD00389869","PRJDB11902","GCA_022845855.1","Complete",5.38627,47.9,"chromosome:AP025571.1",,1,4903,"2022-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/855/GCA_022845855.1_ASM2284585v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/855/GCF_022845855.1_ASM2284585v1"
"Brucella melitensis","Bacteria;Pseudomonadota;Alphaproteobacteria","1","SAMEA104369538","PRJEB23353","GCA_900236435.1","Complete",3.29515,57.2358,"chromosome 1:NZ_LT962916.1/LT962916.1; chromosome 2:NZ_LT962917.1/LT962917.1",,2,2954,"2017-12-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/236/435/GCA_900236435.1_Bru_genome23","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/236/435/GCF_900236435.1_Bru_genome23"
"Pasteurella multocida","Bacteria;Pseudomonadota;Gammaproteobacteria","FDAARGOS_385","SAMN07312429","PRJNA231221","GCA_002591295.1","Complete",2.34671,40.5,"chromosome:NZ_CP023972.1/CP023972.1",,1,2144,"2017-10-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/295/GCF_002591295.1_ASM259129v1"
"Stenotrophomonas maltophilia","Bacteria;Pseudomonadota;Gammaproteobacteria","NCTC10259","SAMEA4537264","PRJEB6403","GCA_900636905.1","Complete",4.56388,66.8,"chromosome 1:NZ_LR134324.1/LR134324.1",,1,4072,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/905/GCA_900636905.1_44982_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/905/GCF_900636905.1_44982_B01"
"Enterococcus faecium","Bacteria;Terrabacteria group;Bacillota","USZ_VRE32_P32","SAMEA8659956","PRJEB44616","GCA_907165365.1","Complete",3.29782,37.6236,"chromosome c:NZ_OU015708.1/OU015708.1; plasmid pELF_USZ:NZ_OU015710.1/OU015710.1; plasmid pl1:NZ_OU015709.1/OU015709.1; plasmid pl2:NZ_OU015711.1/OU015711.1; plasmid pl3:NZ_OU015712.1/OU015712.1; plasmid pl4:NZ_OU015713.1/OU015713.1; plasmid pl5:NZ_OU015714.1/OU015714.1; plasmid pl6:NZ_OU015715.1/OU015715.1; plasmid pl7:NZ_OU015716.1/OU015716.1",,9,3072,"2021-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/907/165/365/GCA_907165365.1_USZ_VRE32_P32_hybrid_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/907/165/365/GCF_907165365.1_USZ_VRE32_P32_hybrid_assembly"
"Bacillus amyloliquefaciens","Bacteria;Terrabacteria group;Bacillota","S499","SAMN04275172","PRJNA302594","GCA_001586105.1","Complete",3.93593,46.5874,"chromosome:NZ_CP014700.1/CP014700.1; plasmid unnamed:NZ_CP014701.1/CP014701.1",,2,3730,"2016-03-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/586/105/GCF_001586105.1_ASM158610v1"
"Borreliella garinii SZ","Bacteria;Spirochaetota;Spirochaetia","SZ","SAMN02402355","PRJNA230868","GCA_000691545.1","Complete",0.902487,28.4,"chromosome:CP007564.1",,1,804,"2014-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/545/GCA_000691545.1_ASM69154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/545/GCF_000691545.1_ASM69154v1"
"Neisseria gonorrhoeae","Bacteria;Pseudomonadota;Betaproteobacteria","9399","SAMN28859080","PRJNA768989","GCA_025169495.2","Complete",2.22336,52.3985,"chromosome:NZ_CP106824.1/CP106824.1; plasmid pJD1:NZ_CP106825.1/CP106825.1",,2,2065,"2022-10-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/169/495/GCF_025169495.2_ASM2516949v2"
"Enterococcus faecalis","Bacteria;Terrabacteria group;Bacillota","EfsC11","SAMN33741193","PRJNA944190","GCA_030020705.1","Complete",3.00478,37.4408,"chromosome:NZ_CP124923.1/CP124923.1; plasmid p1_EfsC11_rep9c:NZ_CP124924.1/CP124924.1",,2,2793,"2023-05-16T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/020/705/GCF_030020705.1_ASM3002070v1"
"Clostridium botulinum B str. Eklund 17B (NRP)","Bacteria;Terrabacteria group;Bacillota","Eklund 17B","SAMN02603538","PRJNA28857","GCA_000020165.1","Complete",3.84797,27.469,"chromosome:NC_010674.1/CP001056.1; plasmid pCLL:NC_010680.1/CP001057.1",,2,3445,"2008-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/165/GCA_000020165.1_ASM2016v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/165/GCF_000020165.1_ASM2016v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","IRQBAS103c","SAMN18594533","PRJNA719286","GCA_017916195.1","Complete",5.54066,56.9,"chromosome:NZ_CP072825.1/CP072825.1",,1,5204,"2021-04-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/916/195/GCA_017916195.1_ASM1791619v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/916/195/GCF_017916195.1_ASM1791619v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","TJ-187","SAMN17188309","PRJNA503785","GCA_021730025.1","Complete",5.46691,45.2809,"chromosome I:NZ_CP068647.1/CP068647.1; chromosome II:NZ_CP068648.1/CP068648.1; plasmid pTJ187-1:NZ_CP068649.1/CP068649.1; plasmid pTJ187-2:NZ_CP068650.1/CP068650.1; plasmid pTJ187-3:NZ_CP068651.1/CP068651.1",,5,4856,"2022-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/730/025/GCA_021730025.1_ASM2173002v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/730/025/GCF_021730025.1_ASM2173002v1"
"Bacillus subtilis","Bacteria;Terrabacteria group;Bacillota","LBUM979","SAMN17016247","PRJNA683031","GCA_016065415.1","Complete",4.21565,43.5,"chromosome:NZ_CP065789.1/CP065789.1",,1,4260,"2020-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/065/415/GCA_016065415.1_ASM1606541v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/065/415/GCF_016065415.1_ASM1606541v1"
"Clostridioides difficile","Bacteria;Terrabacteria group;Bacillota","W0022a","SAMN08104989","PRJNA420067","GCA_002812625.1","Complete",4.18846,28.9,"chromosome:NZ_CP025046.1/CP025046.1",,1,3667,"2017-12-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/625/GCF_002812625.1_ASM281262v1"
